sentence,SOCIAL_LABEL,GRI_LABEL
"Như quý vị đã chứng kiến, TNG bắt đầu giai đoạn phát triển mang tính đột phá từ năm 2019, khi chúng tôi vượt qua được tất cả những rào cản để xây dựng một nền tảng vững mạnh, vững tin vượt sóng.",U,
Giai đoạn 1979 đến 2003: Thời kỳ doanh nghiệp Nhà nước.,U,
1979 1997 Ngày 04/11/1997: Xí nghiệp được đổi tên thành Công ty May Thái Nguyên theo Quyết định số 676/ QĐ-UB của UBND tỉnh Thái Nguyên.,U,
Liên doanh với Công ty May Đức Giang của Tổng công ty Dệt may Việt Nam thành lập Công ty May Liên doanh Việt Thái.,U,
"Giai đoạn 2008 đến 2018: Đầu tư công nghệ, khẳng định và phát triển thương hiệu.",S,GRI404-2
QUÁ TRÌNH HÌNH THÀNH VÀ PHÁT TRIỂN 2003 2006 Công ty đổi tên thành Công ty Cổ phần May Xuất khẩu Thái Nguyên.,U,
"Giai đoạn 2003 đến 2007: Giai đoạn sau cổ phần hóa, chuẩn bị niêm yết cổ phiếu trên sàn giao dịch chứng khoán.",U,
Khởi công xây dựng Nhà máy TNG Sông Công.,S,GRI418
2007 2010 2013 Đổi tên thành Công ty Cổ phần Đầu tư và Thương mại TNG.,U,
"Cổ phiếu TNG được niêm yết trên Sàn Giao dịch Chứng khoán Hà Nội, mã chứng khoán là TNG.",U,
Khởi công xây dựng Nhà máy TNG Phú Bình.,S,GRI401-2
Khởi công xây dựng Nhà máy TNG Đại Từ.,S,GRI418
2016 Khánh thành đưa vào hoạt động Trung tâm thiết kế thời trang TNG và văn phòng làm việc của Công ty.,U,
"20 21 BÁO CÁO THƯỜNG NIÊN 2022 GIỚI THIỆU VỀ TNG 22 23 Ra mắt các sản phẩm, dịch vụ chăm sóc sức khỏe con người.",S,GRI417
"Lắp đặt, nâng cấp Nhà máy sử dụng hệ thống điện mặt trời áp mái (Chi nhánh Bông và Bao bì).",U,
"Xây dựng hệ thống Nhà máy xanh đạt chuẩn LOTUS,...",S,GRI418
Đầu tư các dự án Bất động sản.,S,GRI413-1
2021- 2025: TNG Vinh dự đạt chứng nhận Doanh nghiệp bền vững năm 2021 - Lĩnh vực Sản xuất; Top 10 Báo cáo thường niên tốt nhất 2021.,U,
"TNG chính thức mở rộng sang lĩnh vực bất động sản, với việc ra mắt Dự án chung cư thương mại TNG Village trong tháng 10/2019.",U,
TNG Village được xây dựng trên mục tiêu “vì hạnh phúc của người lao động”.,S,GRI402
Dự án nằm trong chuỗi dự án tiện ích và TNG phát triển với mong muốn nâng cao chất lượng cuộc sống cho người lao động.,S,GRI402
Khởi công xây dựng tòa nhà thương mại TNG Village.,S,GRI413-1
"Mua lại Nhà máy may DG, đổi tên thành Chi nhánh may TNG Đồng Hỷ và đầu tư nâng công suất nhà máy lên 35 chuyền may.",U,
Phát hành thành công trái phiếu chuyển đổi 200 tỷ cho nhà đầu tư nước ngoài.,S,GRI404-3
"Được UBND tỉnh Thái Nguyên phê duyệt đề tài “Nghiên cứu ứng dụng công nghệ may không chỉ trên sản phẩm áo sơ mi” và được Cục bản quyền tác giả chứng nhận đăng ký quyền tác giả, số 2773/2008/QTG ngày 4/6/2018.",S,GRI412-2
2021 2019 2018 QUÁ TRÌNH HÌNH THÀNH VÀ PHÁT TRIỂN (tt) Nhà máy TNG Võ Nhai triển khai theo mô hình Nhà máy xanh.,U,
Chứng nhận Hệ thống quản lý chất lượng - Trang thiết bị y tế theo tiêu chuẩn ISO 13485: 2016 cho Chi nhánh Thời trang TNG - Công ty Cổ phần Đầu tư và Thương mại TNG.,U,
Chứng nhận Hệ thống quản lý chất lượng ISO 9001:2015 cho Chi nhánh Thời trang TNG - Công ty Cổ phần Đầu tư và Thương mại TNG.,U,
Chứng nhận sản phẩm đạt chuẩn TCVN 8389-1:2010 đối với Khẩu trang kháng khuẩn 2 lớp của Công ty Cổ phần Đầu tư và Thương mại TNG.,U,
Chứng nhận QCVN 01: 2017/BCT cho sản phẩm may mặc - Công ty Cổ phần Đầu tư và Thương mại TNG.,U,
"Chứng nhận CE Marking - chứng nhận đạt tiêu chuẩn xuất khẩu khẩu trang, bộ đồ bảo hộ vào thị trường Châu Âu.",S,GRI419
"Ghi nhận mức doanh thu - lợi nhuận cao nhất từ khi thành lập đến nay với 6.772 tỷ đồng, trở thành công ty đứng thứ 2 ngành dệt may Việt Nam (tính riêng các doanh nghiệp dệt may trong nước).",U,
Lần đầu tiên có 1 chi nhánh đạt doanh thu trên 1.000 tỷ/ năm - Chi nhánh Đại Từ với 1.177 tỷ đồng.,U,
"Ngày 1/02/2022, Thành lập Chi nhánh Giải pháp công nghệ Tre với dự án Giải pháp quản trị và điều hành thông minh cho ngành may.",S,GRI404-2
"Tháng 4/2022, Phòng Robot TNG được thành lập với Đội ngũ kỹ sư tinh nhuệ đã cho ra đời 25 thiết kế với 10 máy móc tự động đã được áp dụng tại nhiều chi nhánh.",U,
"Tháng 6/2022: Thành lập Công ty Cổ phần TNG Land, hoạt động về lĩnh vực kinh doanh Bất động sản.",U,
TNG Thời trang: Ra mắt các sản phẩm Quần áo PCCC.,U,
"Ra mắt sản phẩm Bông Kháng khuẩn - Sản phẩm sử dụng trong các sản phẩm khẩu trang, may mặc,...",U,
04/2020: Ra mắt khẩu trang vải kháng khuẩn đạt tiêu chuẩn theo Quyết định 870/QĐ-BYT.,U,
TNG tiên phong trong công cuộc sản xuất khẩu trang vải kháng khuẩn phòng chống Covid-19.,U,
Ra mắt sản phẩm khẩu trang y tế; Bộ quần áo phòng dịch phục vụ nhu cầu trong nước và xuất khẩu.,S,GRI401-2
TNG vinh dự đạt Chứng nhận Doanh nghiệp Bền vững năm 2020 - Lĩnh vực Sản xuất.,U,
"22 23 BÁO CÁO THƯỜNG NIÊN 2022 GIỚI THIỆU VỀ TNG 24 25 LĨNH VỰC, NGÀNH NGHỀ VÀ ĐỊA BÀN KINH DOANH LĨNH VỰC, NGÀNH NGHỀ KINH DOANH LÀ ĐƠN VỊ HOẠT ĐỘNG TRONG LĨNH VỰC MAY CÔNG NGHIỆP XUẤT KHẨU, SẢN XUẤT HÀNG NỘI ĐỊA THƯƠNG HIỆU TNG.",U,
Bất động sản Áo Jacket bông Lông vũ Quần áo dán seam Quần soọc các loại Váy Quần áo nỷ Hàng dệt kim...,U,
Sau khi hết hạn tạm dừng hoạt động Công ty Cổ phần Đầu tư và Thương mại TNG sẽ có kế hoạch góp vốn hoặc giải thể tùy thuộc điều kiện thực tế kinh doanh của Công ty.,U,
Sau khi hết hạn tạm dừng hoạt động Công ty Cổ phần Đầu tư và Thương mại TNG sẽ có kế hoạch góp vốn hoặc giải thể tùy thuộc điều kiện thực tế kinh doanh của Công ty.,U,
"Tình hình hoạt động: Doanh nghiệp đã ngừng hoạt động, TNG đã trích lập dự phòng 100% khoản đầu tư này.",S,GRI402
Ngành nghề kinh doanh: Kinh doanh sân Golf Tình hình hoạt động: Công ty Cổ phần Đầu tư và Thương mại TNG và thành viên góp vốn đang tiến hành lên kế hoạch góp vốn hoặc giải thể tùy thuộc điều kiện thực tế kinh doanh của Công ty.,U,
STT TÊN CHI NHÁNH VỊ TRÍ GIÁM ĐỐC NGÀNH NGHỀ NOTE 1 Chi nhánh may Việt Đức Số 160 Đường Minh Cầu - TP. Thái Nguyên - T.,U,
Thái Nguyên Hoàng Thị Minh Thanh SX may mặc 2 Chi nhánh may Việt Thái Số 221 Đường T h ốn g N h ất - TP. Thái Nguyên - T.,U,
Thái Nguyên Đỗ Thị Thanh Sơn SX may mặc 3 Chi nhánh may Sông Công 1 KCN Sông Công - TP. Sông Công - T.,U,
Thái Nguyên Lưu Đức Huy SX may mặc 14 Chi nhánh may Đồng Hỷ X ã N a m H ò a - H .,U,
Đ ồn g H ỷ - T.,S,GRI419
Thái Nguyên Nguyễn Kim Huế SX may mặc 15 Chi nhánh may Võ Nhai 1 Cụm Công Nghiệp Cây Bòng - Xã La Hiên - H.,U,
Thái Nguyên Nguyễn Thị Thu Quyên SX may mặc 16 Chi nhánh may Võ Nhai 2 Hoàng Đình Hảo SX may mặc 17 Chi nhánh thời trang TNG Số 434/1 Đường Bắc Kạn - TP. Thái Nguyên - T.,U,
"Các sản phẩm phục vụ sản xuất công nghiệp của TNG cũng đã góp một phần lớn vào cơ cấu doanh thu của TNG, thúc đẩy sự phát triển của ngành công nghiệp tỉnh Thái Nguyên nói riêng và cả nước nói chung.",U,
"Sản phẩm phần mềm quản trị doanh nghiệp ngành may TNG là một trong những doanh nghiệp tiên phong đi đầu trong việc đầu tư nghiên cứu, phát triển phần mềm về quản trị doanh nghiệp ngành may mặc.",U,
"LẦN ĐẦU TIÊN CÓ 1 CHI NHÁNH ĐẠT DOANH THU TRÊN 1.000 TỶ/NĂM CHI NHÁNH ĐẠI TỪ Đạt Tỷ đồng doanh thu, lợi nhuận là 25% so với năm 2021.",U,
Lần đầu tiên có 1 Chi nhánh đạt doanh thu trên 1.000 tỷ/năm – đó chính là chi nhánh Đại Từ đạt 1.177 tỷ.,U,
Thành công trong năm 2022 đã đưa TNG trở thành doanh nghiệp đứng thứ 2 trong các doanh nghiệp Việt Nam về xuất khẩu dệt may.,U,
Đây là dấu mốc quan trọng mở ra giai đoạn mới trong sự hình thành và phát triển của TNG Land.,U,
"Từ đây, toàn bộ các dự án Bất động sản sẽ được TNG Land thực hiện với nguồn vốn riêng.",U,
"Với kế hoạch cụ thể cùng những dự án lớn trong thời gian tới, TNG Land sẽ mang tới nhiều đột phá mới và phát triển mãnh mẽ hơn nữa trong tương lai.",U,
"Ngày 1/2/2022, TNG thành lập Chi nhánh Giải pháp công nghệ TRE với dự án Giải pháp quản trị và điều hành thông minh cho ngành may.",U,
"Mặc dù còn non trẻ, năng lực triển khai công nghệ còn nhiều điểm hạn chế, nhưng Tre đã nỗ lực tìm kiếm, phát triển khách hàng mới - đối tác bên ngoài TNG và đã có những dấu ấn nhất định trong năm qua.",U,
"Để thực hiện hóa chiến lược phát triển của Ban Lãnh đạo Công ty, tháng 1/2023, Chi nhánh TOT (công nghệ tự động hóa TNG) được thành lập.",U,
"Năm 2022 là một năm đặc biệt ý nghĩa, đánh dấu 10 năm Kỷ niệm hợp tác giữa TNG và DECATHLON.",U,
Chương trình Kỷ niệm 10 năm hợp tác TNG – DCL là cơ hội để hai bên cùng nhau ôn lại kỷ niệm không thể nào quên trong chặng đường 10 năm hợp tác.,U,
"Đến nay, TNG đã trở thành đối tác chiến lược DCL và là nhà sản xuất lớn nhất cho ngành hàng quần áo dệt thoi trên toàn cầu của Decathlon với doanh thu hơn 100 triệu Euro mỗi năm.",U,
Sản phẩm bông đen là hướng đi mới và tạo nên sự đột phá khác biệt dẫn đầu xu thế kinh tế tuần hoàn trong ngành may mặc.,U,
"Trong suốt gần 30 năm lãnh đạo TNG, Chủ tịch HĐQT Nguyễn Văn Thời đã dẫn dắt đơn vị vượt qua nhiều khó khăn, thử thách để xây dựng ngôi nhà TNG ngày càng phát triển vững mạnh.",S,GRI413-1
"Kết quả các bộ phận, phòng ban, đơn vị đều thực CỦNG CỐ MẠNH MẼ VĂN HÓA TNG: TRAO QUYỀN CHO MỌI NGƯỜI TỰ CHỦ CÔNG VIỆC, TỰ NHÌN RA VẤN ĐỀ, CẢI TIẾN, SÁNG TẠO 9 hiện một cách năng nổ, tích cực hơn.",U,
"Trong năm 2022, TNG đã có hàng trăm Dự án mới được lên ý tưởng, 13 Sáng kiến được Hội đồng thi đua khen thưởng công nhận, 544 ý tưởng Vàng từ người lao động đăng tải trên App nội bộ.",S,GRI402
"Năm 2022, toàn bộ Decathlon có tổng cộng 16 sản phẩm đề cử cho 4 hạng mục, mỗi hạng mục chỉ có 1 sản phẩm duy nhất đạt giải.",U,
Công ty xác định ngành nghề sản xuất kinh doanh cốt lõi của TNG là sản xuất hàng may mặc xuất khẩu và sẽ tiếp tục mang sự ổn định và lợi nhuận cho TNG trong nhiều năm tới.,U,
"Các khách hàng này đều cam kết đặt hàng lâu dài, ổn định với Công ty và đều đề nghị TNG tăng thêm sản lượng hàng năm.",U,
"Bên cạnh đó, TNG cũng tăng cường chủ động cung cấp nguyên phụ liệu và chuyển dần sang làm mẫu phát triển để tăng giá trị lợi nhuận trên sản phẩm.",U,
TNG có bề dày kinh nghiệm trong sản xuất hàng may mặc xuất khẩu nên có nhiều lợi thế để tạo ra sản phẩm có sức cạnh tranh mạnh trên thị trường.,U,
"Sản phẩm và thương hiệu sản phẩm của TNG trên thị trường quốc tế đang được các khách hàng lớn, truyền thông đánh giá cao - đây là điểm tựa để TNG phát triển thêm nhiều khách hàng lớn.",U,
Số lượng ngày càng tăng của các doanh nghiệp sản xuất quy mô lớn có nhiều Nhà máy trên địa bàn tỉnh Thái Nguyên đặt ra những thách thức không nhỏ đối với Công ty trong công tác tuyển dụng và giữ chân lao động.,S,GRI402
"Theo đó, Công ty cần phải không ngừng nâng cao môi trường làm việc và chính sách lao động để thu hút nguồn lao động chất lượng cao cho sự phát triển trong tương lai.",S,GRI402
"Trong một vài năm gần đây đi đôi với việc mở rộng đầu tư các nhà máy làm cho việc mất cân đối vốn của TNG thường xuyên diễn ra, điều này làm cho chi phí tài chính của TNG ngày càng tăng cao.",U,
"Nguồn nguyên phụ liệu chủ yếu là nhập khẩu, do đó hoạt động sản xuất kinh doanh chưa thể chủ động được hoàn toàn mà còn phụ thuộc vào tình hình nguồn nguyên phụ liệu cung ứng cũng như giá cả của thị trường.",U,
"Năm 2022, Công ty đã đầu tư và mở rộng Chi nhánh Đồng Hỷ giai đoạn 2, nâng tổng số chuyền may toàn Công ty lên 322 chuyền may hiện đại và công nghệ quản lý tiên tiến.",U,
Mở rộng sản xuất bằng việc đầu tư mới với dây chuyền hiện đại sẽ giúp Công ty nhận được thêm nhiều đơn đặt hàng mới cũng như nâng cao năng lực sản xuất trong tương lai.,S,GRI404-2
"Hiện tại, TNG đang sử dụng 18.117 lao động và đa phần sống trên địa bàn tỉnh Thái Nguyên.",U,
"Việc sử dụng số lượng lao động lớn như vậy tạo điều kiện cho đơn vị xã/ huyện/ tỉnh giảm tỷ lệ thất nghiệp, giảm chỉ tiêu hộ nghèo nên Công ty được chính quyền các cấp ủng hộ, tạo điều kiện.",S,GRI402
"Phát hành thêm cổ phiếu cho cổ đông hiện hữu tỷ lệ thực hiện 2:1 (02 cổ phiếu sẽ có quyền mua 1 cổ phiếu mới)"".",U,
"Ngày 12/06/2014, Ủy ban Chứng khoán Nhà nước (UBCKNN) nhận được tài liệu báo cáo kết quả phát hành cổ phiếu để trả cổ tức, theo Báo cáo kết quả phát hành số 541/TNG-BC ngày 11/06/2014 của CTCP Đầu tư và Thương mại TNG.",U,
"Theo đó, CTCP Đầu tư và Thương mại TNG đã thực hiện phát hành thành công 1.346.090 cổ phần, chiếm 99,996% tổng số cổ phần được phép phát hành.",U,
"Ngày 26/12/2014, Ủy ban Chứng khoán Nhà nước (UBCKNN) nhận được Tài liệu báo cáo kết quả phát hành cổ phiếu để trả cổ tức (theo báo cáo kết quả phát hành số 800/TNG-BC ngày 23/12/2014) của Công ty Cổ phần Đầu tư và Thương mại TNG.",U,
"Theo đó, Công ty Cổ phần Đầu tư và Thương mại TNG đã thực hiện phát hành thành công 1.480.531 cổ phiếu (chiếm 99,98% tổng số cổ phần được phép phát hành).",U,
Ngày 09/02/2015: Phát hành cổ phiếu Esop cho người lao động: 718.813 cổ phần - Phát hành cổ phiếu cho cổ đông hiện hữu số lượng: 4.935.819 cổ phần.,U,
"Ngày 20/11/2015, Ủy ban Chứng khoán Nhà nước nhận được Tài liệu báo cáo kết quả phát hành cổ phiếu để tạm ứng cổ tức năm 2015 (theo Báo cáo kết quả phát hành số 1703/TNG-BC ngày 16/11/2015) của CTCP Đầu tư và Thương mại TNG.",U,
"Theo đó, CTCP Đầu tư và Thương mại TNG đã thực hiện phát hành thành công 2.193.916 cổ phiếu (chiếm 99,98% tổng số cổ phần được phép phát hành).",U,
"Ngày 15/01/2016, Ủy ban Chứng khoán Nhà nước nhận được tài liệu báo cáo kết quả phát hành cổ phiếu ra công chúng năm 2015 (theo Báo cáo kết quả phát hành ngày 07/01/2016) của CTCP Đầu tư và Thương mại TNG.",U,
"Theo đó, CTCP Đầu tư và Thương mại TNG đã thực hiện phát hành thành công 5.485.642 cổ phiếu (chiếm 100% tổng số cổ phần được phép phát hành).",U,
Theo đó kết quả phát hành của Công ty như sau: Số lượng cổ phiếu trả cổ tức cho cổ đông hiện hữu: 2.961.745 cổ phiếu.,U,
Số lượng cổ phiếu phát hành theo chương trình lựa chọn cho người lao động: 1.481.106 cổ phiếu.,S,GRI402
Số lượng cổ phiếu phát hành để hoán đổi với CTCP Thời trang TNG: 200.000 cổ phiếu.,U,
"Theo đó, CTCP Đầu tư và Thương mại TNG đã phát hành thành công 6.852.313 cổ phiếu.",U,
"Ngày 03/07/2018, Ủy ban Chứng khoán Nhà nước (UBCKNN) nhận được báo cáo kết quả phát hành cổ phiếu để trả cổ tức năm 2017 số 1462/CV-TNG ngày 02/07/2018 của CTCP Đầu tư và Thương mại TWNG (Mã CK: TNG).",U,
"Theo đó, TNG đã phát hành thành công 8.222.889 cổ phiếu.",U,
"Ngày 12/03/2019, Ủy ban Chứng khoán Nhà nước nhận được được Báo cáo kết quả phát hành cổ phiếu theo chương trình lựa chọn cho người lao động năm 2018 số 426/CV-TNG ngày 07/03/2019 của CTCP Đầu tư và Thương mại TNG (Mã chứng khoán: TNG).",U,
"Theo đó, TNG đã phát hành thành công 2.467.009 cổ phiếu.",U,
"Ngày 24/06/2019, Ủy ban Chứng khoán Nhà nước (UBCKNN) đã nhận báo cáo kết quả phát hành cổ phiếu để trả cổ tức số 1346/CV-TNG ngày 20/06/2019 của CTCP Đầu tư và Thương mại TNG (Mã CK: TNG).",U,
"Theo đó, TNG đã phát hành thành công 10.360.809 cổ phiếu.",U,
"Ngày 13/12/2019, Ủy ban Chứng khoán Nhà nước nhận được Báo cáo kết quả chuyển đổi trái phiếu thành cổ phiếu (đợt 1) số 2823CV/TNG ngày 12/12/2019 Của Công ty cổ phần Đầu tư và Thương mại TNG (TNG).",U,
"Theo đó, TNG đã chuyển đổi thành công 35 trái phiếu thành 3.043.478 cổ phiếu.",U,
Nghị quyết Đại hội đồng cổ đông thường niên năm 2020 số 1461/2020/NQ-ĐHĐCĐ ngày 17/05/2020.,U,
Nghị quyết Hội đồng quản trị số 1528/NQ-HĐQT.,S,GRI404-3
"Ngày 24/07/2020, Ủy ban Chứng khoán Nhà nước (UBCKNN) đã nhận báo cáo kết quả phát hành cổ phiếu để trả cổ tức số 2089/CV-TNG ngày 20/07/2020 của CTCP Đầu tư và Thương mại TNG (Mã CK: TNG).",U,
"Theo đó, TNG đã phát hành thành công 5.215.784 cổ phiếu.",U,
"Ngày 11/08/2020, Sở Kế hoạch và Đầu tư tỉnh Thái Nguyên phát hành Giấy chứng nhận đăng ký doanh nghiệp lần thứ 30 cho công ty với vốn điều lệ là 704.272.600.000 đồng.",U,
"Theo đó, TNG đã chuyển đổi thành công 38 trái phiếu thành 3.568.745 cổ phiếu.",U,
"Ngày 30/09/2020, Sở Kế hoạch và Đầu tư tỉnh Thái Nguyên phát hành Giấy chứng nhận đăng ký doanh nghiệp lần thứ 31 cho công ty với vốn điều lệ là 739.960.050.000 đồng.",U,
Nghị quyết HĐQT số 2287/2020/NQ-HĐQT ngày 06/08/2020.,U,
"Theo đó, TNG đã chuyển đổi thành công 59 trái phiếu thành 5.540.946 cổ phiếu.",U,
"Ngày 13/08/2021, Sở Kế hoạch và Đầu tư tỉnh Thái Nguyên phát hành Giấy chứng nhận đăng ký doanh nghiệp lần thứ 32 cho công ty với vốn điều lệ là 795.369.510.000 đồng.",U,
Nghị quyết Đại hội đồng cổ đông thường niên năm 2021 số 1046/2021/NQ-ĐHĐCĐ ngày 25/04/2021.,U,
Nghị quyết Hội đồng quản trị số 3602/2021/NQQ-HĐQT ngày 18/08/2021.,S,GRI404-3
"Ngày 13/10/2021, Ủy ban Chứng khoán Nhà nước (UBCKNN) đã nhận báo cáo kết quả phát hành cổ phiếu để trả cổ tức số 3569/CV-TNG ngày 08/10/2021 của CTCP Đầu tư và Thương mại TNG (Mã CK: TNG).",U,
"Theo đó, TNG đã phát hành thành công 6.361.828 cổ phiếu.",U,
"Ngày 27/10/2021, Sở Kế hoạch và Đầu tư tỉnh Thái Nguyên phát hành Giấy chứng nhận đăng ký doanh nghiệp lần thứ 33 cho công ty với vốn điều lệ là 858.987.790.000 đồng.",U,
Nghị quyết Đại hội đồng cổ đông số 781/2018/NQ-ĐHĐCĐ ngày 22/04/2018.,U,
Nghị quyết HĐQT số 021121/NQ-HĐQT ngày 02/11/2021.,U,
"Ngày 30/11/2021, Ủy ban Chứng khoán Nhà nước nhận được Báo cáo kết quả chuyển đổi trái phiếu chuyển đổi trái phiếu thành cổ phiếu (đợt 4) số 3966/CV-TNG ngày 23/11/2021 và các tài liệu bổ sung của Công ty cổ phần Đầu tư và Thương mại TNG (TNG).",U,
"Theo đó, TNG đã chuyển đổi thành công 68 trái phiếu thành 6.800.000 cổ phiếu.",U,
"Ngày 10/12/2021, Sở Kế hoạch và Đầu tư tỉnh Thái Nguyên phát hành Giấy chứng nhận đăng ký doanh nghiệp lần thứ 34 cho công ty với vốn điều lệ là 926.987.790.000 đồng.",U,
"Theo đó, TNG đã phát hành thành công 7.413.372 cổ phiếu.",U,
Nghị quyết Hội đồng quản trị số 1855/NQ-HĐQT ngày 11/07/2022.,S,GRI407
Nghị quyết Hội đồng quản trị số 2020/NQ-HĐQT ngày 01/08/2022.,S,GRI404-3
Nghị quyết Hội đồng quản trị số 2323/NQ-HĐQT ngày 05/09/2022.,U,
"Ngày 13/09/2022, Ủy ban Chứng khoán Nhà nước nhận được được Báo cáo kết quả phát hành cổ phiếu theo chương trình lựa chọn cho người lao động năm 2022 số 2375/CV-TNG ngày 13/09/2022 của CTCP Đầu tư và Thương mại TNG (Mã chứng khoán: TNG).",U,
"Theo đó, TNG đã phát hành thành công 5.005.607 cổ phiếu.",U,
"Ngày 22/09/2022, Sở Kế hoạch và Đầu tư tỉnh Thái Nguyên phát hành Giấy chứng nhận đăng ký doanh nghiệp lần thứ 36 cho công ty với vốn điều lệ là 1.051.177.580.000 đồng.",U,
